sample,Max Distance,angle-20_35,angle-35_50,angle-50_65,angle-65_80,diaphyseal bending,Area 20%,Perimeter 20%,Ix 20%,Iy 20%,Ixy 20%,Imin 20%,Imax 20%,Theta 20%,Area 35%,Perimeter 35%,Ix 35%,Iy 35%,Ixy 35%,Imin 35%,Imax 35%,Theta 35%,Area 50%,Perimeter 50%,Ix 50%,Iy 50%,Ixy 50%,Imin 50%,Imax 50%,Theta 50%,Area 65%,Perimeter 65%,Ix 65%,Iy 65%,Ixy 65%,Imin 65%,Imax 65%,Theta 65%,Area 80%,Perimeter 80%,Ix 80%,Iy 80%,Ixy 80%,Imin 80%,Imax 80%,Theta 80%
001-Ulna_L,245.2201503622,3.9017674547,4.9068384892,2.111206663,2.5436858558,13.4634984627,348.2318860096,78.5684168356,11083.8461008286,10348.1490045766,-138.3486920432,10322.9925718837,11109.0025335215,10.3056983727,190.5374547503,51.8192326206,3285.7480518245,2765.0168036596,-43.4043609897,2761.4237249934,3289.3411304907,4.7322413223,158.5711151542,49.0667420483,2462.1004191249,2006.3034317439,-614.0334797275,1579.2402184219,2889.1636324469,34.8187973343,122.7289598247,40.9619779561,1271.4854254095,1191.6846158067,-157.3463201473,1069.258476977,1393.9115642392,37.8853435341,106.9214792554,37.3073008001,924.9690749877,909.4465578362,11.6153883932,903.2380496922,931.1775831318,-28.1248223623
001-Ulna_R,243.2897636452,3.8488372287,5.289758051,2.251819803,2.6885449613,14.078960044,340.3308047418,77.1519247481,10485.6078918641,9894.3528354337,570.5998224185,9547.3453250907,10832.6154022071,-31.305672546,180.468271419,50.6251125675,2632.8491000764,2790.4951913735,142.0963414461,2549.1777065041,2874.1665849457,-59.508905967,157.713800079,48.8488492596,1561.529720639,2872.6537082496,243.8005385968,1517.6632117779,2916.5202171106,-79.8000300013,116.5918079004,39.7644158639,979.6014460957,1242.8679168682,-61.6984621308,965.8592747325,1256.6100882314,77.4434063654,101.3639987251,36.3617492273,847.5664715736,815.6761667962,-102.9473582962,727.4464351443,935.7962032254,40.597809796
002-Ulna_L,250.3503962865,3.2560464062,4.1562015174,1.2689381209,0.9508906621,9.6320767067,286.7863526559,68.3683736731,7976.5337384066,6107.065387126,-190.5529742282,6087.8402265799,7995.7588989526,5.7611576926,172.3212378059,49.2987026492,2238.2317768424,2793.6437661044,-468.9101061239,1970.9631784151,3060.9123645317,60.3177970287,151.564547229,49.2167842171,2891.2297160403,1379.9664468154,-428.4223225845,1266.9641805722,3004.2319822836,14.7760211758,129.8639723834,45.3697818002,2073.2957440841,1009.5493353386,-207.4733984485,970.5159653986,2112.3291140241,10.6548949918,105.6978587943,37.8020189097,858.359228224,1006.5605616153,-193.8418883238,724.9373986122,1139.9823912271,55.4602716681
002-Ulna_R,250.2694525403,4.5254713599,5.8299495475,2.2958461809,1.7891932958,14.4404603841,295.2049868492,71.0486046758,9023.6852438133,6526.2386608151,1344.8780063012,5939.7489645209,9610.1749401075,-23.5616005864,176.3418278457,50.2823064234,2138.7357591201,3150.0720203172,1.5918103553,2138.7332536686,3150.0745257687,-89.909818606,151.2046268181,49.4949984464,1285.5360981938,2948.8039875518,66.5702632412,1282.8759592965,2951.4641264491,-87.7116857118,128.4440452685,46.1105420204,1105.4748816348,1929.5608165364,-330.2041228905,989.4892799726,2045.5464181986,70.6459581187,109.0311607454,38.2358511943,1069.0144156388,872.771231722,-45.9350633008,862.5513410945,1079.2343062662,12.5431878075
003-Ulna_L,217.5500276633,4.248653493,5.8537680072,1.9466853444,0.6082262688,12.6573331134,174.8783393509,51.6824557333,3243.9760133641,1977.7270633693,-194.9869199164,1948.3815392126,3273.3215375208,8.558778954,105.8094047003,38.03656884,840.1214393865,1007.5854247879,57.3329986912,822.3737822033,1025.3330819711,-72.7998819668,90.4440897302,37.8127403834,902.3028641538,580.25058703,140.834195427,527.3522344701,955.2012167137,-20.586545208,76.943176697,33.1209127839,478.8474186781,542.7178181379,150.8897370956,356.55042416,665.0148126561,-50.9750355872,63.9689745826,29.3934607571,366.0308367561,306.5730609901,-23.2857228333,298.5391144637,374.0647832825,19.0352526456
003-Ulna_R,217.6999440716,3.8870925335,5.7215214753,2.9263531175,1.5659036246,14.1008707509,165.5739245029,51.5207886651,2815.2243196208,1879.1169299609,72.9096920291,1873.4723194996,2820.868930082,-4.4269631663,103.8147418481,38.2422540159,858.0481362518,932.2583439691,-19.8042209635,853.0938071574,937.2126730635,75.9548424161,87.155464484,36.5872154246,865.3190886216,487.4485667827,-84.7442198093,469.313512085,883.4541433193,12.0789699392,78.3252784404,33.2466047525,519.2329612594,535.4415599762,-158.9660029478,368.1648077207,686.5097135149,46.4592443563,66.9314824118,29.7739448452,391.4200287887,336.8018787819,16.382128122,332.2650796515,395.9568279191,-15.4793196815
004-Ulna_L,236.8395237631,4.0063273551,4.9402990349,1.157835615,0.633831119,10.7382931241,201.6223995027,53.5522408214,3436.2533173767,3276.1963049047,161.7678935772,3175.7437506309,3536.7058716505,-31.838924303,121.9045557741,43.1149786485,1344.9412226526,1274.114890045,-264.7445810693,1042.4254813833,1576.6306313143,41.1905704048,107.0458677799,42.9197579844,1638.673920663,670.0071250955,-216.6104543058,623.7757962687,1684.9052494898,12.047912903,92.6730319673,38.067701289,1048.5614181441,511.8316813548,-23.6406283193,510.7924259952,1049.6006735038,2.51713415,80.7457620757,32.3312848681,519.1053738346,526.5010221811,-18.4580978906,503.9783399379,541.6280560778,50.6642251012
004-Ulna_R,242.5898842671,3.9005875409,5.0790173707,1.5193862375,0.9324054996,11.4313966487,200.376315356,53.0365737579,3631.7055113183,2963.5905835229,60.6953874171,2958.1214369179,3637.1746579233,-5.1489089368,120.6930130613,43.0272687818,1137.0971909111,1434.5327077671,220.4516257348,1019.8903529571,1551.7395457212,-62.0018987058,104.2933716962,42.425381848,777.9096509062,1354.8795542804,362.6866689161,602.9669521888,1529.8222529978,-64.2495621107,91.3012667679,37.7335036183,652.2009237499,825.0852144078,189.5658322855,530.2985244919,946.9876136658,-57.2565086429,87.3763200749,34.1056126873,564.7599102767,679.1011837762,-32.8618296846,555.9882877643,687.8728062886,75.0547997587
005-Ulna_L,221.5000494612,3.0563529261,4.659538055,1.6864686625,0.3184703443,9.7208299879,169.5075497346,49.0407228412,2548.1278281934,2198.5964633186,42.8000319257,2193.4319190273,2553.2923724847,-6.8804347685,93.3096573741,35.4240647316,683.651074223,739.3655960289,80.3729565482,626.4445994372,796.5720708147,-54.5581563116,77.9997631077,33.6731789273,555.6128605055,498.7765871371,-133.2127586319,390.9844835494,663.4049640932,38.9788327911,66.9842379509,30.8962618609,450.9192133944,305.9744343684,-23.9899214392,302.1070336512,454.7866141115,9.1578277359,58.3695989389,27.6578313977,279.5140180462,270.7698228721,13.2637467032,261.1761689965,289.1076719219,-35.8781757092
005-Ulna_R,223.2103924222,3.2297976356,5.2074234347,1.9095995135,0.8212000919,11.1680206757,157.5018387311,46.8866766559,2332.2616122948,1776.6365937479,121.0231877136,1751.4203877596,2357.4778182831,-11.7696691324,90.8631221908,35.1868835386,772.8514975511,600.1978773685,-123.4811027954,535.8598246413,837.1895502782,27.5211188075,74.8393368931,33.1508370094,481.1547238903,497.7180270581,-136.7283962095,352.4573986822,626.4153522662,46.7330879833,61.4444450647,29.8353726434,313.8839228069,332.2275984519,-66.6918118779,255.7362212623,390.3752999965,48.9152607195,51.8482303707,26.2298605596,197.5460103101,242.0764395877,26.2255506682,185.4089097541,254.2135401437,-65.1654521027
